epsilon,dL_depsilon,dG_depsilon,dR_depsilon,jacobian_core_factor_K
0.4091555278969957,-1.6605862278230032,-0.0030943696884003164,0.5125054711191248,1.69844727257202
0.4105861416309013,-1.666739624395904,-0.0031296119779324087,0.5125906486333351,1.6992690425527766
0.41201675536480686,-1.6728967917261997,-0.0031651504161356635,0.5126760802713333,1.7000942058926534
0.41344736909871244,-1.6790574379982208,-0.003200986804100264,0.5127617703334956,1.7009227577674721
0.414877982832618,-1.685222273953466,-0.003237122952638618,0.5128477067065681,1.7017547272531686
0.4163085965665236,-1.691352030591653,-0.0032735606824157216,0.5129345475808723,1.7025888008945496
0.41773921030042915,-1.697562858033603,-0.003310301823783384,0.5130203396021454,1.703428894152747
0.4191698240343348,-1.7037788609737285,-0.00334734821682718,0.5131063737252588,1.7042724709488442
0.42060043776824035,-1.7099201399090105,-0.0033847017119730456,0.5131939623923039,1.70511677057018
0.4220310515021459,-1.7161045369045207,-0.00342236416995018,0.5132811465075426,1.7059658586302133
0.4234616652360515,-1.7222538680396124,-0.0034603374606955056,0.5133692453118737,1.706817054811757
0.42489227896995707,-1.7284455757076893,-0.0034986234648661557,0.5134569320989025,1.707673015223643
0.42632289270386264,-1.7346809748309227,-0.003537224073627407,0.5135441952324288,1.708533811770073
0.4277535064377682,-1.7409201301165909,-0.0035761411879186244,0.5136316930537842,1.7093980376603042
0.42918412017167384,-1.7470857705420282,-0.003615376719537072,0.5137207807113405,1.710263042081271
0.4306147339055794,-1.7532933176134549,-0.003654932590345724,0.5138094384034646,1.7111328149274285
0.432045347639485,-1.7595450616245019,-0.0036948107329329628,0.5138976655735099,1.7120074993997865
0.43347596137339056,-1.7657223680365661,-0.0037350130905433364,0.5139874838975024,1.7128828824215538
0.43490657510729613,-1.7719039874193567,-0.0037755416168765007,0.5140775542969229,1.7137617812055779
0.4363371888412017,-1.7781283009368916,-0.0038163982765717377,0.5141671831655517,1.7146455334003223
0.4377678025751073,-1.7844349489313145,-0.0038575850450986438,0.5142556775608855,1.715535564831619
0.43919841630901285,-1.790629428807711,-0.0038991039086911945,0.5143464676892517,1.7164249604713846
0.4406290300429184,-1.7968656838085681,-0.003940956864623466,0.5144368092076148,1.7173191880331953
0.44205964377682405,-1.8031461870058576,-0.0039831459211703,0.5145266971626076,1.7182183988972348
0.4434902575107296,-1.8093526817499326,-0.00402567309770332,0.5146182010748437,1.719118298444742
0.4449208712446352,-1.815563259938446,-0.0040685404246925535,0.5147099573523254,1.7200217435948206
0.44635148497854077,-1.8218556709407554,-0.004111749944069929,0.5148005401863041,1.720931519860242
0.44778209871244634,-1.8281531380023155,-0.004155303709200009,0.5148913557794735,1.7218448845998706
0.4492127124463519,-1.8343765608227505,-0.004199203784370669,0.5149838062072134,1.7227589225253732
