d_km,epsilon,invariant_residual
2.2,0.98,1.130426570095382
2.2,0.99,1.193759167977619
2.4,0.01,0.7688815925551447
2.4,0.02,0.7683958653782802
2.4,0.03,0.7679353993055608
2.4,0.04,0.7675002339087621
2.4,0.05,0.7670904203868619
2.4,0.060000000000000005,0.7667060216193368
2.4,0.06999999999999999,0.7663471122491706
2.4,0.08,0.766013778796065
2.4,0.09,0.7657061198005148
2.4,0.09999999999999999,0.765424245999564
2.4,0.11,0.7651682805352271
2.4,0.12,0.7649383591967468
2.4,0.13,0.7647346306980307
2.4,0.14,0.7645572569918306
2.4,0.15000000000000002,0.7644064136224205
2.4,0.16,0.7642822901187739
2.4,0.17,0.7641850904304822
2.4,0.18000000000000002,0.7641150334089261
2.4,0.19,0.7640723533364993
2.4,0.2,0.7640573005070103
2.4,0.21000000000000002,0.7640701418607294
2.4,0.22,0.7641111616779325
2.4,0.23,0.7641806623352125
2.4,0.24000000000000002,0.764278965129298
2.4,0.25,0.7644064111736257
2.4,0.26,0.7645633623734841
2.4,0.27,0.7647502024861764
2.4,0.28,0.7649673382733574
2.4,0.29000000000000004,0.7652152007534719
2.4,0.3,0.7654942465631072
2.4,0.31,0.7658049594370396
2.4,0.32,0.766147851817865
2.4,0.33,0.7665234666073154
2.4,0.34,0.7669323790727681
2.4,0.35000000000000003,0.7673751989239991
2.4,0.36000000000000004,0.7678525725770006
2.4,0.37,0.7683651856236753
2.4,0.38,0.7689137655284751
2.4,0.39,0.7694990845756137
2.4,0.4,0.7701219630934042
2.4,0.41000000000000003,0.7707832729855796
2.4,0.42000000000000004,0.7714839416032702
2.4,0.43,0.7722249559956218
2.4,0.44,0.7730073675820502
2.4,0.45,0.7738322972948081
2.4,0.46,0.7747009412471585
2.4,0.47000000000000003,0.7756145769900304
2.4,0.48000000000000004,0.7765745704288328
2.4,0.49,0.7775823834823014
2.4,0.5,0.7786395825771164
2.4,0.51,0.7797478480858445
2.4,0.52,0.7809089848319277
2.4,0.53,0.7821249338043642
2.4,0.54,0.7833977852470082
2.4,0.55,0.7847297933136285
2.4,0.56,0.7861233925109318
2.4,0.5700000000000001,0.7875812161885454
2.4,0.5800000000000001,0.7891061173787896
2.4,0.59,0.7907011923414078
2.4,0.6,0.7923698072311592
2.4,0.61,0.794115628381684
2.4,0.62,0.7959426567902126
2.4,0.63,0.797855267498317
2.4,0.64,0.7998582546985984
2.4,0.65,0.8019568835620127
2.4,0.66,0.8041569499831519
2.4,0.67,0.8064648496910108
2.4,0.68,0.8088876584834934
2.4,0.6900000000000001,0.8114332257317178
2.4,0.7000000000000001,0.814110283787083
2.4,0.7100000000000001,0.8169285765389194
2.4,0.72,0.8198990111520085
2.4,0.73,0.8230338380130197
2.4,0.74,0.8263468652030601
2.4,0.75,0.8298537154857198
2.4,0.76,0.83357213598796
2.4,0.77,0.8375223736384814
2.4,0.78,0.8417276332727337
2.4,0.79,0.8462146404826647
2.4,0.8,0.8510143383110654
2.4,0.81,0.8561627565359591
2.4,0.8200000000000001,0.8617021057001564
2.4,0.8300000000000001,0.8676821669273396
2.4,0.8400000000000001,0.8741620755427558
2.4,0.85,0.8812126356455124
2.4,0.86,0.888919360495882
2.4,0.87,0.8973865203007657
2.4,0.88,0.9067426119630039
2.4,0.89,0.9171478739614872
