wavenumber_ratio_r,upper_mode_fraction_cutoff_u,min_jacobian_determinant,min_singular_value,max_condition_number
1.1074600257927485,0.01,0.0001025855948888,0.0012302317773005,67.78170665975328
1.1074600257927485,0.0242028985507246,0.0002483445940565,0.0029421420140154,28.689795135695704
1.1074600257927485,0.0384057971014492,0.000394447695369,0.0046138043869664,18.52981432962796
1.1074600257927485,0.0526086956521739,0.000541212393751,0.0062466059589618,13.870097407278625
1.1074600257927485,0.0668115942028985,0.0006889693407146,0.0078419098268029,11.203564220833744
1.1074600257927485,0.0810144927536231,0.0008380640704843,0.0094010566465239,9.482522521698144
1.1074600257927485,0.0952173913043478,0.0009888588395867,0.0109253657611799,8.284424218292363
1.1074600257927485,0.1094202898550724,0.0011417347324566,0.0124161366097168,7.406145642182995
1.1074600257927485,0.1236231884057971,0.0012970939547765,0.0138746499545785,6.7379435031315
1.1074600257927485,0.1378260869565217,0.0014553623652793,0.0153021692760689,6.21534351093886
1.1074600257927485,0.1520289855072464,0.001616992332595,0.0166999421489431,5.797997546033297
1.1074600257927485,0.166231884057971,0.0017824659027022,0.018069201683593,5.459379693960303
1.1074600257927485,0.1804347826086956,0.0019522983516299,0.0194111680016017,5.181349057244856
1.1074600257927485,0.1946376811594203,0.0021270421382089,0.0207270497749134,4.951093329580782
1.1074600257927485,0.2088405797101449,0.0023072914005534,0.0220180458369233,4.759319980438027
1.1074600257927485,0.2230434782608695,0.0024936869579121,0.0232853468469259,4.599138743029687
1.1074600257927485,0.2372463768115942,0.002686922003205,0.0245301370534101,4.4653459416952135
1.1074600257927485,0.2514492753623188,0.0028877485317834,0.0257535961416922,4.353951728485954
1.1074600257927485,0.2656521739130435,0.0030969846223119,0.02695690118692,4.261859374795636
1.1074600257927485,0.2798550724637681,0.0033155227208888,0.0281412287282716,4.186642678058876
1.1074600257927485,0.2940579710144927,0.0035443391152843,0.029307756970646,4.126388405405159
1.1074600257927485,0.3082608695652174,0.0037845046978117,0.0304576681381713,4.079582761208468
1.1074600257927485,0.322463768115942,0.0040371973770657,0.0315921510037931,4.045028531890436
1.1074600257927485,0.3366666666666666,0.0043037162890871,0.0327124035991719,4.021783817171519
